ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"179123","Test Case","TC-3.2-F01: should display form builder with Location and Entity static fields",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Navigate to Request Types list.",,,,
,,,"2","Click 'Build Form' on a request type row.",,,,
,,,"3","System displays the Form Builder page.","Form Builder displays with two static fields pre-added: Location (Map field) and Entity (Dropdown list field).",,,
"179124","Test Case","Check to save request (or create new version) form with any invalid controls",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Navigate to Request Types list.",,,,
,,,"2","Click 'Build Form' on a request type row.",,,,
,,,"3","System displays the Form Builder page.",,,,
,,,"4","Drag and drop fields and in properties -> select any invalid data.",,,,
,,,"5","Press on save button or new version button.","Error displayed: The form has invalid controls.",,,
"179125","Test Case","TC-3.2-F02: should allow drag and drop of custom fields into form (drag and drop main and advanced fields)",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Open Form Builder for a request type.",,,,
,,,"2","Drag more than 1 field from (main fields) and more than 1 field (advanced fields) from the field palette.",,,,
,,,"3","Drop it into the form canvas.","Text field is added to the form canvas. Field properties panel is available for configuration.",,,
"179126","Test Case","TC-3.2-F03: should set ""Can Be Filtered By"" property on text field then disable it",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Open Form Builder.",,,,
,,,"2","Select a Text field.",,,,
,,,"3","Open field properties.",,,,
,,,"4","Enable 'Can Be Filtered By' checkbox.",,,,
,,,"5","Repeat with the other fields: Numeric, Date, Checkbox, Radio button, Dropdown list",,,,
,,,"6","Disable the option of ""can be filtered by"" and check that this option removed from assignment page.",,,,
,,,"7","Repeat with fields other than the fields mentioned in step 5.","1- Property is saved. Field will appear as a filter option in the Assignment page (UC-3.10).
2- Property is saved. Field will not appear as a filter option in the Assignment page.
3- Other than the fields mentioned in step 5, this option will not be displayed.",,,
"179127","Test Case","TC-3.2-F04: should set ""Can Be Sorted By"" property on numeric field",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Open Form Builder.",,,,
,,,"2","Add a Numeric field.",,,,
,,,"3","Open field properties.",,,,
,,,"4","Enable 'Can Be Sorted By' checkbox.",,,,
,,,"5","Repeat with the other fields: Text, Date, Checkbox, Radio button, Dropdown list",,,,
,,,"6","Disable the option of ""can be sorted by"" and check that this option removed from assignment page.",,,,
,,,"7","Repeat with fields other than the fields mentioned in step 5.","1- Property is saved. Field will allow sorting (ascending and descending ) in the Assignment page (UC-3.10).
2- Property is saved. Field will not allow sorting (ascending and descending ) in the Assignment page (UC-3.10).
3- Other than the fields mentioned in step 5, this option will not be displayed.",,,
"179128","Test Case","TC-3.2-F05: should set ""View With Request Information - Tablet"" property",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Open Form Builder.",,,,
